"","Date","Block","Treatment","Hours","Flies","Censor"
"49","7/1/22",1,"M24I",240,24,0
"50","7/1/22",1,"I120M",240,24,0
"51","7/1/22",1,"-120M",240,35,0
"53","7/14/22",2,"I24M",24,2,1
"54","7/14/22",2,"I120M",24,1,1
"55","7/14/22",2,"M0",24,1,1
"56","7/14/22",2,"-0M",24,1,1
"57","7/14/22",2,"M24I",24,1,1
"58","7/14/22",2,"I0M",24,2,1
"59","7/15/22",2,"I0M",48,12,1
"60","7/15/22",2,"M24I",48,7,1
"61","7/15/22",2,"I24M",48,1,1
"63","7/15/22",2,"Virgin",48,2,1
"64","7/16/22",2,"Virgin",72,3,1
"65","7/16/22",2,"I0M",72,2,1
"66","7/16/22",2,"M24-",72,2,1
"67","7/17/22",2,"I0M",96,3,1
"68","7/17/22",2,"M24I",96,2,1
"69","7/17/22",2,"I24M",96,3,1
"70","7/18/22",2,"M0",120,2,1
"71","7/18/22",2,"I0M",120,1,1
"72","7/18/22",2,"M24I",120,2,1
"73","7/18/22",2,"I24M",120,1,1
"74","7/18/22",2,"I120M",120,2,1
"75","7/19/22",2,"-0M",144,2,1
"76","7/19/22",2,"Virgin",144,2,1
"77","7/19/22",2,"I0M",144,2,1
"78","7/19/22",2,"M24I",144,2,1
"79","7/19/22",2,"I24M",144,1,1
"80","7/19/22",2,"I120M",144,2,1
"81","7/20/22",2,"-0M",168,1,1
"82","7/20/22",2,"I0M",168,2,1
"83","7/20/22",2,"I24M",168,3,1
"84","7/20/22",2,"I120M",168,3,1
"86","7/21/22",2,"Virgin",192,1,1
"87","7/21/22",2,"I24M",192,4,1
"88","7/21/22",2,"-120M",192,1,1
"89","7/21/22",2,"I120M",192,4,1
"91","7/22/22",2,"M0",216,1,1
"92","7/22/22",2,"-0M",216,2,1
"93","7/22/22",2,"I0M",216,2,1
"94","7/22/22",2,"M24I",216,1,1
"95","7/23/22",2,"-120M",240,2,1
"96","7/23/22",2,"I120M",240,2,1
"98","7/23/22",2,"M0",240,26,0
"99","7/23/22",2,"-0M",240,24,0
"100","7/23/22",2,"Virgin",240,22,0
"101","7/23/22",2,"I0M",240,4,0
"102","7/23/22",2,"I24M",240,19,0
"103","7/23/22",2,"M24I",240,15,0
"104","7/23/22",2,"M24-",240,18,0
"105","7/23/22",2,"-120M",240,27,0
"106","7/23/22",2,"I120M",240,26,0
"108","7/20/22",3,"-0M",24,2,1
"109","7/20/22",3,"M24I",24,1,1
"110","7/20/22",3,"M24-",24,1,1
"111","7/20/22",3,"I120M",24,1,1
"112","7/21/22",3,"-0M",48,2,1
"113","7/21/22",3,"M24I",48,2,1
"114","7/21/22",3,"I0M",48,2,1
"115","7/21/22",3,"Virgin",48,1,1
"116","7/21/22",3,"I24M",48,4,1
"117","7/22/22",3,"-0M",72,3,1
"118","7/22/22",3,"M24-",72,1,1
"119","7/22/22",3,"I0M",72,1,1
"120","7/22/22",3,"Virgin",72,2,1
"121","7/22/22",3,"I24M",72,1,1
"122","7/23/22",3,"-0M",96,1,1
"123","7/23/22",3,"M24-",96,1,1
"124","7/23/22",3,"I0M",96,1,1
"125","7/24/22",3,"-0M",120,2,1
"126","7/24/22",3,"M24-",120,1,1
"127","7/24/22",3,"I0M",120,1,1
"128","7/25/22",3,"-0M",144,1,1
"129","7/25/22",3,"I0M",144,1,1
"130","7/25/22",3,"I24M",144,2,1
"131","7/25/22",3,"-120M",144,1,1
"132","7/26/22",3,"M0",168,1,1
"133","7/26/22",3,"M24I",168,6,1
"134","7/26/22",3,"I24M",168,3,1
"135","7/26/22",3,"-120M",168,1,1
"136","7/26/22",3,"I120M",168,2,1
"138","7/27/22",3,"M24I",192,1,1
"139","7/27/22",3,"I120M",192,5,1
"141","7/28/22",3,"M0",216,2,1
"142","7/28/22",3,"M24I",216,1,1
"143","7/28/22",3,"I120M",216,2,1
"145","7/29/22",3,"M24I",240,2,1
"146","7/29/22",3,"I24M",240,1,1
"147","7/29/22",3,"I120M",240,5,1
"149","7/29/22",3,"M0",240,27,0
"150","7/29/22",3,"-0M",240,19,0
"151","7/29/22",3,"M24I",240,17,0
"152","7/29/22",3,"M24-",240,21,0
"153","7/29/22",3,"I0M",240,24,0
"154","7/29/22",3,"Virgin",240,27,0
"155","7/29/22",3,"I24M",240,19,0
"156","7/29/22",3,"-120M",240,28,0
"157","7/29/22",3,"I120M",240,25,0
